Model,PR-AUC,F1_Score,Recall,Precision
xgboost,0.7416205416399322,0.6286764705882353,0.9318801089918256,0.47434119278779474
random_forest,0.7187124841633404,0.6602620087336245,0.6866485013623979,0.6358284272497897
logistic_regression,0.7129105649207936,0.6479166666666667,0.8474114441416893,0.524451939291737
